DesignName, ParticipantID, TrialID, Block1, Block2, Size, Dir, NbModi, NbAngle, Repeat, letter1, modifiers1, execTimeCMD1, execTimeAlt1, execTimeShift1, execTimeKey1, letter2, modifiers2, execTimeCMD2, execTimeAlt2, execTimeShift2, execTimeKey2, letter3, modifiers3, execTimeCMD3, execTimeAlt3, execTimeShift3, execTimeKey3, angle1, userAngle1, drawDist1, angle2, userAngle2, drawDist2, mouseClick1, totalExecTime1, nbOfAttempts1, mouseClick2, totalExecTime2, nbOfAttempts2, mouseClick3, totalExecTime3, nbOfAttempts3, targetDist
KeyMultiRepeat,54,3864,4,12,4,NaN,1,NaN,1,K,CMD,1.243,NaN,NaN,1.686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.872,1.686,1,NaN,NaN,NaN,NaN,NaN,NaN,540
KeyMultiRepeat,54,3865,5,1,4,NaN,1,NaN,3,B,CMD,1.865,NaN,NaN,2.395,X,CMD,0.904,NaN,NaN,0.904,I,CMD,0.288,NaN,NaN,0.288,NaN,NaN,NaN,NaN,NaN,NaN,1.122,2.395,1,NaN,0.904,0,NaN,0.288,0,525
KeyMultiRepeat,54,3866,5,2,1,NaN,1,NaN,2,K,CMD,1.9,NaN,NaN,2.605,K,CMD,1.004,NaN,NaN,1.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.34,2.605,1,NaN,1.004,0,NaN,NaN,NaN,476
KeyMultiRepeat,54,3867,5,3,1,NaN,1,NaN,3,I,CMD,1.653,NaN,NaN,2.076,Y,CMD,0.394,NaN,NaN,0.394,Y,CMD,0.37,NaN,NaN,0.37,NaN,NaN,NaN,NaN,NaN,NaN,1.241,2.076,1,NaN,0.394,0,NaN,0.37,0,663
KeyMultiRepeat,54,3868,5,4,3,NaN,1,NaN,1,B,CMD,1.253,NaN,NaN,1.506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.858,1.506,1,NaN,NaN,NaN,NaN,NaN,NaN,973
KeyMultiRepeat,54,3869,5,5,3,NaN,1,NaN,3,Y,CMD,1.185,NaN,NaN,1.701,I,CMD,0.968,NaN,NaN,0.968,X,CMD,0.404,NaN,NaN,0.404,NaN,NaN,NaN,NaN,NaN,NaN,0.789,1.701,1,NaN,0.968,0,NaN,0.404,0,727
KeyMultiRepeat,54,3870,5,6,2,NaN,1,NaN,2,B,CMD,1.276,NaN,NaN,1.511,X,CMD,1.569,NaN,NaN,1.569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.891,1.511,1,NaN,1.569,0,NaN,NaN,NaN,677
KeyMultiRepeat,54,3871,5,7,4,NaN,1,NaN,2,A,CMD,1.325,NaN,NaN,3.632,Y,CMD,0.881,NaN,NaN,0.881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.772,3.632,1,NaN,0.881,0,NaN,NaN,NaN,696
KeyMultiRepeat,54,3872,5,8,2,NaN,1,NaN,3,A,CMD,1.463,NaN,NaN,1.939,A,CMD,0.204,NaN,NaN,0.204,X,CMD,0.632,NaN,NaN,0.632,NaN,NaN,NaN,NaN,NaN,NaN,1.04,1.939,1,NaN,0.204,0,NaN,0.632,0,466
KeyMultiRepeat,54,3873,5,9,1,NaN,1,NaN,1,B,CMD,2.11,NaN,NaN,2.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.792,2.296,1,NaN,NaN,NaN,NaN,NaN,NaN,585
KeyMultiRepeat,54,3874,5,10,2,NaN,1,NaN,1,A,CMD,1.131,NaN,NaN,1.358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.873,1.358,1,NaN,NaN,NaN,NaN,NaN,NaN,649
KeyMultiRepeat,54,3875,5,11,3,NaN,1,NaN,2,X,CMD,1.538,NaN,NaN,2.394,X,CMD,0.575,NaN,NaN,0.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.906,2.394,1,NaN,0.575,0,NaN,NaN,NaN,529
KeyMultiRepeat,54,3876,5,12,4,NaN,1,NaN,1,X,CMD,1.72,NaN,NaN,2.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.375,2.419,1,NaN,NaN,NaN,NaN,NaN,NaN,236
KeyMultiRepeat,54,3877,6,1,4,NaN,1,NaN,3,I,CMD,1.206,NaN,NaN,1.601,A,CMD,0.327,NaN,NaN,0.327,I,CMD,0.168,NaN,NaN,0.168,NaN,NaN,NaN,NaN,NaN,NaN,0.896,1.601,1,NaN,0.327,0,NaN,0.168,0,882
KeyMultiRepeat,54,3878,6,2,1,NaN,1,NaN,2,A,CMD,2.203,NaN,NaN,2.411,A,CMD,0.185,NaN,NaN,0.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.858,2.411,1,NaN,0.185,0,NaN,NaN,NaN,561
KeyMultiRepeat,54,3879,6,3,1,NaN,1,NaN,3,A,CMD,1.599,NaN,NaN,2.175,Y,CMD,0.432,NaN,NaN,0.432,I,CMD,0.307,NaN,NaN,0.307,NaN,NaN,NaN,NaN,NaN,NaN,1.24,2.175,1,NaN,0.432,0,NaN,0.307,0,648
KeyMultiRepeat,54,3880,6,4,3,NaN,1,NaN,1,Y,CMD,1.383,NaN,NaN,1.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.924,1.89,1,NaN,NaN,NaN,NaN,NaN,NaN,799
KeyMultiRepeat,54,3881,6,5,3,NaN,1,NaN,3,Y,CMD,1.563,NaN,NaN,2.676,K,CMD,1.252,NaN,NaN,1.252,I,CMD,0.188,NaN,NaN,0.188,NaN,NaN,NaN,NaN,NaN,NaN,1.108,2.676,1,NaN,1.252,0,NaN,0.188,0,654
KeyMultiRepeat,54,3882,6,6,2,NaN,1,NaN,2,A,CMD,1.333,NaN,NaN,1.577,I,CMD,0.361,NaN,NaN,0.361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.955,1.577,1,NaN,0.361,0,NaN,NaN,NaN,745
KeyMultiRepeat,54,3883,6,7,4,NaN,1,NaN,2,A,CMD,1.154,NaN,NaN,1.353,I,CMD,0.353,NaN,NaN,0.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.64,1.353,1,NaN,0.353,0,NaN,NaN,NaN,708
KeyMultiRepeat,54,3884,6,8,2,NaN,1,NaN,3,I,CMD,1.646,NaN,NaN,2.709,Y,CMD,0.625,NaN,NaN,0.625,Y,CMD,0.219,NaN,NaN,0.219,NaN,NaN,NaN,NaN,NaN,NaN,1.187,2.709,1,NaN,0.625,0,NaN,0.219,0,236
KeyMultiRepeat,54,3885,6,9,1,NaN,1,NaN,1,A,CMD,1.738,NaN,NaN,2.068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.356,2.068,1,NaN,NaN,NaN,NaN,NaN,NaN,125
KeyMultiRepeat,54,3886,6,10,2,NaN,1,NaN,1,K,CMD,1.91,NaN,NaN,2.266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.394,2.266,1,NaN,NaN,NaN,NaN,NaN,NaN,1110
KeyMultiRepeat,54,3887,6,11,3,NaN,1,NaN,2,A,CMD,1.456,NaN,NaN,1.893,B,CMD,0.439,NaN,NaN,0.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.06,1.893,1,NaN,0.439,0,NaN,NaN,NaN,299
KeyMultiRepeat,54,3888,6,12,4,NaN,1,NaN,1,X,CMD,2.87,NaN,NaN,3.939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.165,3.939,1,NaN,NaN,NaN,NaN,NaN,NaN,790
KeyMultiRepeat,55,3889,1,1,1,NaN,1,NaN,1,X,Ctrl,4.591,NaN,NaN,4.737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.056,4.737,2,NaN,NaN,NaN,NaN,NaN,NaN,861
KeyMultiRepeat,55,3890,1,2,1,NaN,1,NaN,3,K,Ctrl,1.916,NaN,NaN,3.57,X,Ctrl,0.927,NaN,NaN,0.927,X,Ctrl,0.24,NaN,NaN,0.24,NaN,NaN,NaN,NaN,NaN,NaN,1.178,3.57,1,NaN,0.927,1,NaN,0.24,1,712
KeyMultiRepeat,55,3891,1,3,2,NaN,1,NaN,1,B,Ctrl,2.085,NaN,NaN,3.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.533,3.106,1,NaN,NaN,NaN,NaN,NaN,NaN,557
KeyMultiRepeat,55,3892,1,4,3,NaN,1,NaN,2,K,Ctrl,1.461,NaN,NaN,2.131,A,Ctrl,0.076,NaN,NaN,0.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.091,2.131,2,NaN,0.076,1,NaN,NaN,NaN,1093
KeyMultiRepeat,55,3893,1,5,4,NaN,1,NaN,1,X,Ctrl,0.914,NaN,NaN,1.153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.722,1.153,2,NaN,NaN,NaN,NaN,NaN,NaN,599
KeyMultiRepeat,55,3894,1,6,2,NaN,1,NaN,3,A,Ctrl,0.98,NaN,NaN,1.775,B,Ctrl,0.389,NaN,NaN,0.389,K,Ctrl,0.421,NaN,NaN,0.421,NaN,NaN,NaN,NaN,NaN,NaN,0.722,1.775,1,NaN,0.389,1,NaN,0.421,1,730
KeyMultiRepeat,55,3895,1,7,4,NaN,1,NaN,3,Y,Ctrl,1.233,NaN,NaN,2.383,K,Ctrl,0.573,NaN,NaN,0.573,Y,Ctrl,1.192,NaN,NaN,1.192,NaN,NaN,NaN,NaN,NaN,NaN,0.851,2.383,1,NaN,0.573,1,NaN,1.192,1,1320
KeyMultiRepeat,55,3896,1,8,3,NaN,1,NaN,1,B,Ctrl,2.307,NaN,NaN,2.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.72,2.68,1,NaN,NaN,NaN,NaN,NaN,NaN,1047
KeyMultiRepeat,55,3897,1,9,1,NaN,1,NaN,2,Y,Ctrl,2,NaN,NaN,2.84,K,Ctrl,0.195,NaN,NaN,0.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.122,2.84,3,NaN,0.195,1,NaN,NaN,NaN,624
KeyMultiRepeat,55,3898,1,10,2,NaN,1,NaN,2,B,Ctrl,3.262,NaN,NaN,3.885,K,Ctrl,0.23,NaN,NaN,0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.814,3.885,3,NaN,0.23,1,NaN,NaN,NaN,1190
KeyMultiRepeat,55,3899,1,11,3,NaN,1,NaN,3,K,Ctrl,1.198,NaN,NaN,2.421,A,Ctrl,0.154,NaN,NaN,0.154,X,Ctrl,0.836,NaN,NaN,0.836,NaN,NaN,NaN,NaN,NaN,NaN,0.82,2.421,1,NaN,0.154,1,NaN,0.836,1,164
KeyMultiRepeat,55,3900,1,12,4,NaN,1,NaN,2,I,Ctrl,1.296,NaN,NaN,1.942,I,Ctrl,0.104,NaN,NaN,0.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.773,1.942,2,NaN,0.104,1,NaN,NaN,NaN,1078
KeyMultiRepeat,55,3901,2,1,1,NaN,1,NaN,1,A,Ctrl,1.042,NaN,NaN,1.177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.925,1.177,1,NaN,NaN,NaN,NaN,NaN,NaN,928
KeyMultiRepeat,55,3902,2,2,1,NaN,1,NaN,3,X,Ctrl,1.127,NaN,NaN,3.232,I,Ctrl,0.477,NaN,NaN,0.477,Y,Ctrl,0.074,NaN,NaN,0.916,NaN,NaN,NaN,NaN,NaN,NaN,0.868,3.232,1,NaN,0.477,1,NaN,0.916,2,1201
KeyMultiRepeat,55,3903,2,3,2,NaN,1,NaN,1,B,Ctrl,1.356,NaN,NaN,1.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.094,1.794,2,NaN,NaN,NaN,NaN,NaN,NaN,263
KeyMultiRepeat,55,3904,2,4,3,NaN,1,NaN,2,Y,Ctrl,0.669,NaN,NaN,1.444,I,Ctrl,0.158,NaN,NaN,0.158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.522,1.444,1,NaN,0.158,1,NaN,NaN,NaN,1126
KeyMultiRepeat,55,3905,2,5,4,NaN,1,NaN,1,B,Ctrl,0.851,NaN,NaN,1.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.666,1.27,1,NaN,NaN,NaN,NaN,NaN,NaN,780
KeyMultiRepeat,55,3906,2,6,2,NaN,1,NaN,3,X,Ctrl,1.242,NaN,NaN,3.378,K,Ctrl,1.033,NaN,NaN,1.033,B,Ctrl,0.172,NaN,NaN,0.172,NaN,NaN,NaN,NaN,NaN,NaN,0.951,3.378,2,NaN,1.033,1,NaN,0.172,1,1207
KeyMultiRepeat,55,3907,2,7,4,NaN,1,NaN,3,K,Ctrl,0.943,NaN,NaN,1.827,I,Ctrl,0.211,NaN,NaN,0.211,I,Ctrl,0.112,NaN,NaN,0.112,NaN,NaN,NaN,NaN,NaN,NaN,0.702,1.827,1,NaN,0.211,1,NaN,0.112,1,1199
KeyMultiRepeat,55,3908,2,8,3,NaN,1,NaN,1,I,Ctrl,1.119,NaN,NaN,1.634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.864,1.634,1,NaN,NaN,NaN,NaN,NaN,NaN,694
KeyMultiRepeat,55,3909,2,9,1,NaN,1,NaN,2,A,Ctrl,1.191,NaN,NaN,2.236,Y,Ctrl,0.192,NaN,NaN,0.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.052,2.236,2,NaN,0.192,1,NaN,NaN,NaN,1024
KeyMultiRepeat,55,3910,2,10,2,NaN,1,NaN,2,I,Ctrl,1.01,NaN,NaN,1.64,B,Ctrl,0.164,NaN,NaN,0.164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.795,1.64,1,NaN,0.164,1,NaN,NaN,NaN,576
KeyMultiRepeat,55,3911,2,11,3,NaN,1,NaN,3,Y,Ctrl,1.133,NaN,NaN,1.738,I,Ctrl,0.138,NaN,NaN,0.138,B,Ctrl,0.431,NaN,NaN,0.431,NaN,NaN,NaN,NaN,NaN,NaN,0.919,1.738,1,NaN,0.138,1,NaN,0.431,1,527
KeyMultiRepeat,55,3912,2,12,4,NaN,1,NaN,2,A,Ctrl,1.043,NaN,NaN,1.795,X,Ctrl,0.157,NaN,NaN,0.157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.776,1.795,2,NaN,0.157,1,NaN,NaN,NaN,672
KeyMultiRepeat,55,3913,3,1,1,NaN,1,NaN,1,A,Ctrl,0.944,NaN,NaN,1.078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.808,1.078,1,NaN,NaN,NaN,NaN,NaN,NaN,936
KeyMultiRepeat,55,3914,3,2,1,NaN,1,NaN,3,Y,Ctrl,1.095,NaN,NaN,2.182,K,Ctrl,0.197,NaN,NaN,0.197,B,Ctrl,0.227,NaN,NaN,0.227,NaN,NaN,NaN,NaN,NaN,NaN,3.159,2.182,1,NaN,0.197,1,NaN,0.227,1,940
KeyMultiRepeat,55,3915,3,3,2,NaN,1,NaN,1,A,Ctrl,1.047,NaN,NaN,1.047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.83,1.047,0,NaN,NaN,NaN,NaN,NaN,NaN,1089
KeyMultiRepeat,55,3916,3,4,3,NaN,1,NaN,2,Y,Ctrl,1.062,NaN,NaN,1.529,A,Ctrl,0.058,NaN,NaN,0.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.83,1.529,1,NaN,0.058,0,NaN,NaN,NaN,727
KeyMultiRepeat,55,3917,3,5,4,NaN,1,NaN,1,I,Ctrl,0.878,NaN,NaN,1.425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.615,1.425,1,NaN,NaN,NaN,NaN,NaN,NaN,691
KeyMultiRepeat,55,3918,3,6,2,NaN,1,NaN,3,B,Ctrl,1.107,NaN,NaN,1.653,Y,Ctrl,0.173,NaN,NaN,0.173,B,Ctrl,0.115,NaN,NaN,0.115,NaN,NaN,NaN,NaN,NaN,NaN,0.711,1.653,2,NaN,0.173,1,NaN,0.115,0,1212
KeyMultiRepeat,55,3919,3,7,4,NaN,1,NaN,3,I,Ctrl,1.106,NaN,NaN,1.961,K,Ctrl,0.301,NaN,NaN,0.301,B,Ctrl,0.301,NaN,NaN,0.301,NaN,NaN,NaN,NaN,NaN,NaN,0.89,1.961,1,NaN,0.301,1,NaN,0.301,1,595
KeyMultiRepeat,55,3920,3,8,3,NaN,1,NaN,1,K,Ctrl,0.909,NaN,NaN,1.578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.693,1.578,1,NaN,NaN,NaN,NaN,NaN,NaN,1142
KeyMultiRepeat,55,3921,3,9,1,NaN,1,NaN,2,A,Ctrl,1.234,NaN,NaN,1.72,I,Ctrl,0.107,NaN,NaN,0.107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.155,1.72,1,NaN,0.107,1,NaN,NaN,NaN,742
KeyMultiRepeat,55,3922,3,10,2,NaN,1,NaN,2,K,Ctrl,1.067,NaN,NaN,1.622,X,Ctrl,0.095,NaN,NaN,0.095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.807,1.622,1,NaN,0.095,1,NaN,NaN,NaN,887
KeyMultiRepeat,55,3923,3,11,3,NaN,1,NaN,3,K,Ctrl,0.931,NaN,NaN,1.397,A,Ctrl,0.084,NaN,NaN,0.084,B,Ctrl,0.143,NaN,NaN,0.143,NaN,NaN,NaN,NaN,NaN,NaN,0.619,1.397,1,NaN,0.084,0,NaN,0.143,1,867
KeyMultiRepeat,55,3924,3,12,4,NaN,1,NaN,2,Y,Ctrl,0.903,NaN,NaN,1.459,I,Ctrl,0.09,NaN,NaN,0.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.59,1.459,2,NaN,0.09,0,NaN,NaN,NaN,1253
KeyMultiRepeat,55,3925,4,1,1,NaN,1,NaN,1,Y,Ctrl,1.271,NaN,NaN,1.737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.927,1.737,1,NaN,NaN,NaN,NaN,NaN,NaN,438
KeyMultiRepeat,55,3926,4,2,1,NaN,1,NaN,3,X,Ctrl,1.16,NaN,NaN,1.871,Y,Ctrl,0.167,NaN,NaN,0.167,Y,Ctrl,0.136,NaN,NaN,0.136,NaN,NaN,NaN,NaN,NaN,NaN,1.003,1.871,1,NaN,0.167,1,NaN,0.136,1,1354
KeyMultiRepeat,55,3927,4,3,2,NaN,1,NaN,1,A,Ctrl,0.986,NaN,NaN,1.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.826,1.221,1,NaN,NaN,NaN,NaN,NaN,NaN,921
KeyMultiRepeat,55,3928,4,4,3,NaN,1,NaN,2,A,Ctrl,0.895,NaN,NaN,1.115,B,Ctrl,0.289,NaN,NaN,0.289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.715,1.115,1,NaN,0.289,1,NaN,NaN,NaN,1076
KeyMultiRepeat,55,3929,4,5,4,NaN,1,NaN,1,B,Ctrl,1.116,NaN,NaN,1.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.819,1.576,1,NaN,NaN,NaN,NaN,NaN,NaN,525
KeyMultiRepeat,55,3930,4,6,2,NaN,1,NaN,3,B,Ctrl,1.094,NaN,NaN,2.547,A,Ctrl,0.172,NaN,NaN,0.172,K,Ctrl,0.128,NaN,NaN,0.128,NaN,NaN,NaN,NaN,NaN,NaN,0.806,2.547,1,NaN,0.172,1,NaN,0.128,1,492
KeyMultiRepeat,55,3931,4,7,4,NaN,1,NaN,3,A,Ctrl,1.135,NaN,NaN,1.456,K,Ctrl,0.214,NaN,NaN,0.214,I,Ctrl,0.142,NaN,NaN,0.142,NaN,NaN,NaN,NaN,NaN,NaN,0.789,1.456,1,NaN,0.214,1,NaN,0.142,1,762
KeyMultiRepeat,55,3932,4,8,3,NaN,1,NaN,1,X,Ctrl,1.211,NaN,NaN,1.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.581,1.609,1,NaN,NaN,NaN,NaN,NaN,NaN,593
KeyMultiRepeat,55,3933,4,9,1,NaN,1,NaN,2,B,Ctrl,1.79,NaN,NaN,2.221,Y,Ctrl,0.1,NaN,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.324,2.221,1,NaN,0.1,1,NaN,NaN,NaN,855
KeyMultiRepeat,55,3934,4,10,2,NaN,1,NaN,2,I,Ctrl,1.307,NaN,NaN,1.758,Y,Ctrl,1.65,NaN,NaN,1.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.146,1.758,1,NaN,1.944,2,NaN,NaN,NaN,729
KeyMultiRepeat,55,3935,4,11,3,NaN,1,NaN,3,I,Ctrl,1.557,NaN,NaN,2.268,K,Ctrl,0.019,NaN,NaN,0.144,Y,Ctrl,0.199,NaN,NaN,0.199,NaN,NaN,NaN,NaN,NaN,NaN,0.806,2.268,1,NaN,0.144,1,NaN,0.199,1,790
KeyMultiRepeat,55,3936,4,12,4,NaN,1,NaN,2,I,Ctrl,1.138,NaN,NaN,1.851,Y,Ctrl,0.223,NaN,NaN,0.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.598,1.851,1,NaN,0.223,1,NaN,NaN,NaN,910
KeyMultiRepeat,55,3937,5,1,1,NaN,1,NaN,1,X,Ctrl,1.291,NaN,NaN,1.756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.753,1.756,1,NaN,NaN,NaN,NaN,NaN,NaN,1126
KeyMultiRepeat,55,3938,5,2,1,NaN,1,NaN,3,X,Ctrl,1.538,NaN,NaN,2.194,A,Ctrl,0.157,NaN,NaN,0.157,A,Ctrl,0.173,NaN,NaN,0.173,NaN,NaN,NaN,NaN,NaN,NaN,0.906,2.195,1,NaN,0.157,1,NaN,0.173,1,484
KeyMultiRepeat,55,3939,5,3,2,NaN,1,NaN,1,K,Ctrl,1.28,NaN,NaN,1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.822,1.55,1,NaN,NaN,NaN,NaN,NaN,NaN,1438
KeyMultiRepeat,55,3940,5,4,3,NaN,1,NaN,2,B,Ctrl,1.115,NaN,NaN,2.345,Y,Ctrl,0.096,NaN,NaN,0.096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.837,2.345,1,NaN,0.096,1,NaN,NaN,NaN,932
KeyMultiRepeat,55,3941,5,5,4,NaN,1,NaN,1,I,Ctrl,0.98,NaN,NaN,1.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.634,1.805,1,NaN,NaN,NaN,NaN,NaN,NaN,900
KeyMultiRepeat,55,3942,5,6,2,NaN,1,NaN,3,K,Ctrl,1.094,NaN,NaN,2.806,A,Ctrl,0.109,NaN,NaN,0.109,I,Ctrl,0.141,NaN,NaN,1.734,NaN,NaN,NaN,NaN,NaN,NaN,0.769,2.806,1,NaN,0.109,1,NaN,1.734,2,1150
KeyMultiRepeat,55,3943,5,7,4,NaN,1,NaN,3,B,Ctrl,1.097,NaN,NaN,1.654,A,Ctrl,0.124,NaN,NaN,0.124,A,Ctrl,0.179,NaN,NaN,0.179,NaN,NaN,NaN,NaN,NaN,NaN,0.858,1.654,1,NaN,0.124,1,NaN,0.179,1,1291
KeyMultiRepeat,55,3944,5,8,3,NaN,1,NaN,1,X,Ctrl,0.741,NaN,NaN,1.622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.663,1.622,1,NaN,NaN,NaN,NaN,NaN,NaN,1137
KeyMultiRepeat,55,3945,5,9,1,NaN,1,NaN,2,A,Ctrl,0.887,NaN,NaN,1.135,B,Ctrl,0.417,NaN,NaN,0.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.785,1.135,1,NaN,0.417,1,NaN,NaN,NaN,1028
KeyMultiRepeat,55,3946,5,10,2,NaN,1,NaN,2,Y,Ctrl,0.915,NaN,NaN,1.478,K,Ctrl,0.179,NaN,NaN,0.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.588,1.478,1,NaN,0.179,1,NaN,NaN,NaN,1040
